BEAT_OF_OCCURRENCE,DAMAGE_PER_BEAT,PRIM_CONTRIBUTORY_CAUSE,DAMAGE_PER_CAUSE,PERCENTAGE,,,
1011,4373620.554,EXCEEDING AUTHORIZED SPEED LIMIT,104044.8938,2.378919078,,,
1011,4373620.554,IMPROPER BACKING,122059.5393,2.790812276,,,
1011,4373620.554,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),67424.07533,1.541607794,,,
1011,4373620.554,UNABLE TO DETERMINE,1223605.543,27.97694789,,,
1011,4373620.554,DRIVING ON WRONG SIDE/WRONG WAY,64820.48048,1.482078285,,,
1011,4373620.554,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,124604.1001,2.848992009,,,
1011,4373620.554,EQUIPMENT - VEHICLE CONDITION,44226.21617,1.011203776,,,
1011,4373620.554,FOLLOWING TOO CLOSELY,400990.265,9.168382581,,,
1011,4373620.554,DISTRACTION - FROM OUTSIDE VEHICLE,40898.33774,0.935113992,,,
1011,4373620.554,OPERATING VEHICLE IN ERRATIC,147192.0505,3.365450859, ,,
1011,4373620.554,DISREGARDING STOP SIGN,208249.5837,4.761491793,,,
1011,4373620.554,NOT APPLICABLE,176383.4426,4.032893124,,,
1011,4373620.554,PHYSICAL CONDITION OF DRIVER,7200.944034,0.164644919,,,
1011,4373620.554,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,32496.66825,0.743015263,,,
1011,4373620.554,EXCEEDING SAFE SPEED FOR CONDITIONS,39955.93509,0.913566566,,,
1011,4373620.554,IMPROPER TURNING/NO SIGNAL,138144.4546,3.158583442,,,
1011,4373620.554,IMPROPER LANE USAGE,258986.7068,5.921563237,,,
1011,4373620.554,DISTRACTION - FROM INSIDE VEHICLE,22481.88271,0.514033681,,,
1011,4373620.554,ANIMAL,2748.731373,6.28E-02,,,
1011,4373620.554,CELL PHONE USE OTHER THAN TEXTING,23455.35391,0.536291469,,,
1011,4373620.554,EVASIVE ACTION DUE TO ANIMAL,2051.691397,0.046910594,,,
1011,4373620.554,IMPROPER OVERTAKING/PASSING,176212.6673,4.028988457,,,
1011,4373620.554,FAILING TO YIELD RIGHT-OF-WAY,360848.6287,8.250570076,,,
1011,4373620.554,DISREGARDING TRAFFIC SIGNALS,233014.8912,5.3277345,,,
1011,4373620.554,TURNING RIGHT ON RED,10937.93088,0.250088702,,,
1011,4373620.554,FAILING TO REDUCE SPEED TO AVOID CRASH,212988.7282,4.869849261,,,
1011,4373620.554,WEATHER,73954.24834,1.690915968,,,
1011,4373620.554,DISREGARDING YIELD SIGN,0,0,,,
1011,4373620.554,DISREGARDING OTHER TRAFFIC SIGNS,53642.56331,1.226502451,,,
1012,3745958.068,PHYSICAL CONDITION OF DRIVER,7709.727764,0.205814577,,,
1012,3745958.068,FOLLOWING TOO CLOSELY,338716.8238,9.04219475,,,
1012,3745958.068,FAILING TO YIELD RIGHT-OF-WAY,267830.9548,7.149865266,,,
1012,3745958.068,DISREGARDING ROAD MARKINGS,13163.90622,0.351416273,,,
1012,3745958.068,IMPROPER LANE USAGE,53323.31175,1.423489286,,,
1012,3745958.068,VISION OBSCURED (SIGNS,6678.12047,0.178275366,,,
1012,3745958.068,DISREGARDING TRAFFIC SIGNALS,249686.0003,6.665477717,,,
1012,3745958.068,OPERATING VEHICLE IN ERRATIC,56212.7181,1.50062326, ,,
1012,3745958.068,EVASIVE ACTION DUE TO ANIMAL,5276.683715,0.140863395,,,
1012,3745958.068,WEATHER,37136.30962,0.991370137,,,
1012,3745958.068,DISREGARDING OTHER TRAFFIC SIGNS,22939.56653,0.612381829,,,
1012,3745958.068,UNABLE TO DETERMINE,1503083.808,40.12548407,,,
1012,3745958.068,ROAD CONSTRUCTION/MAINTENANCE,24385.92405,0.65099298,,,
1012,3745958.068,DISTRACTION - FROM OUTSIDE VEHICLE,26201.6867,0.699465563,,,
1012,3745958.068,DRIVING ON WRONG SIDE/WRONG WAY,40620.53894,1.084383173,,,
1012,3745958.068,FAILING TO REDUCE SPEED TO AVOID CRASH,230384.8254,6.150224355,,,
1012,3745958.068,DISREGARDING STOP SIGN,29525.17391,0.788187518,,,
1012,3745958.068,IMPROPER BACKING,62522.63703,1.669069325,,,
1012,3745958.068,TURNING RIGHT ON RED,62805.83678,1.676629467,,,
1012,3745958.068,NOT APPLICABLE,92603.06608,2.472079623,,,
1012,3745958.068,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),25846.44022,0.689982102,,,
1012,3745958.068,DISTRACTION - FROM INSIDE VEHICLE,14192.77964,0.378882502,,,
1012,3745958.068,EXCEEDING AUTHORIZED SPEED LIMIT,65620.92036,1.751779362,,,
1012,3745958.068,IMPROPER OVERTAKING/PASSING,231645.6547,6.183882747,,,
1012,3745958.068,IMPROPER TURNING/NO SIGNAL,125751.1769,3.356983036,,,
1012,3745958.068,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,8791.049251,0.234680931,,,
1012,3745958.068,EQUIPMENT - VEHICLE CONDITION,14008.70874,0.373968648,,,
1012,3745958.068,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,105162.1019,2.807348613,,,
1012,3745958.068,EXCEEDING SAFE SPEED FOR CONDITIONS,24131.61645,0.644204126,,,
1013,7300927.282,FOLLOWING TOO CLOSELY,944670.2041,12.93904415,,,
1013,7300927.282,TEXTING,3608.087009,0.049419572,,,
1013,7300927.282,EXCEEDING SAFE SPEED FOR CONDITIONS,231776.8225,3.17462171,,,
